source_commit,profile,node_count,agent_count,context_tokens,kv_resident_fraction,seed,tokens_per_agent,variant,compute_tflops_per_node,memory_gbps_per_node,network_gbps_each_direction,network_latency_ns,completed_token_count,simulated_duration_ms,tokens_per_second,p95_token_latency_ms,compute_busy_fraction,memory_busy_fraction,max_network_busy_fraction,compute_idle_reasons,memory_idle_reasons,delta_throughput_vs_baseline,delta_p95_vs_baseline,run_status
efbc3debbac9303132bc970599fb7d34729723cc,Kimi K3,7,681,100000,0.8,7,10,baseline,100.0,1200.0,7.5,50000.0,6852,5450.0,1244.4666636563288,611.9358222315311,1.0,1.0,0.16617693375889472,"{""compute_idle_without_reserved_kernel"":0.0,""compute_productive"":0.7392774685255479,""compute_waiting_for_memory"":0.26072253147445207}","{""memory_idle_without_reserved_kernel"":0.0,""memory_productive"":0.8816686631670774,""memory_waiting_for_compute"":0.11833133683292252}",0.0,0.0,completed_target
efbc3debbac9303132bc970599fb7d34729723cc,Kimi K3,7,681,100000,0.8,7,10,control_x1,100.0,1200.0,7.5,50000.0,6852,5450.0,1244.4666636563288,611.9358222315311,1.0,1.0,0.16617693375889472,"{""compute_idle_without_reserved_kernel"":0.0,""compute_productive"":0.7392774685255479,""compute_waiting_for_memory"":0.26072253147445207}","{""memory_idle_without_reserved_kernel"":0.0,""memory_productive"":0.8816686631670774,""memory_waiting_for_compute"":0.11833133683292252}",0.0,0.0,completed_target
efbc3debbac9303132bc970599fb7d34729723cc,Kimi K3,7,681,100000,0.8,7,10,compute_x2,200.0,1200.0,7.5,50000.0,6818,4350.0,1565.885057356279,449.36563245128013,1.0,1.0,0.2112683300587701,"{""compute_idle_without_reserved_kernel"":0.0,""compute_productive"":0.41908409562734356,""compute_waiting_for_memory"":0.5809159043726565}","{""memory_idle_without_reserved_kernel"":0.0,""memory_productive"":0.9965507969571379,""memory_waiting_for_compute"":0.003449203042862154}",321.41839369995023,-162.57018978025098,completed_target
efbc3debbac9303132bc970599fb7d34729723cc,Kimi K3,7,681,100000,0.8,7,10,hbm_bandwidth_x2,100.0,2400.0,7.5,50000.0,6811,3900.0,1746.0623241652945,432.94707144327737,1.0,1.0,0.2344422913053591,"{""compute_idle_without_reserved_kernel"":0.0,""compute_productive"":0.9729692519587412,""compute_waiting_for_memory"":0.027030748041258764}","{""memory_idle_without_reserved_kernel"":0.0,""memory_productive"":0.5776112067799296,""memory_waiting_for_compute"":0.42238879322007034}",501.5956605089657,-178.98875078825375,completed_target
efbc3debbac9303132bc970599fb7d34729723cc,Kimi K3,7,681,100000,0.8,7,10,network_bandwidth_x2,100.0,1200.0,15.0,50000.0,6810,4800.0,1433.9460391743485,540.5607844846072,1.0,1.0,0.08952183578755621,"{""compute_idle_without_reserved_kernel"":0.0,""compute_productive"":0.7270417693378487,""compute_waiting_for_memory"":0.2729582306621513}","{""memory_idle_without_reserved_kernel"":0.0,""memory_productive"":0.8576203046773545,""memory_waiting_for_compute"":0.14237969532264552}",189.47937551801965,-71.37503774692391,completed_target
efbc3debbac9303132bc970599fb7d34729723cc,Kimi K3,7,681,100000,0.8,7,10,network_latency_div2,100.0,1200.0,7.5,25000.0,6815,5050.0,1343.9229523535755,534.7308123294115,1.0,1.0,0.18051424529845525,"{""compute_idle_without_reserved_kernel"":0.0,""compute_productive"":0.7267015335709645,""compute_waiting_for_memory"":0.27329846642903566}","{""memory_idle_without_reserved_kernel"":0.0,""memory_productive"":0.8575168731074923,""memory_waiting_for_compute"":0.1424831268925078}",99.45628869724669,-77.20500990211963,completed_target
