scenario,system_prefix_duplicate_fraction,family_context_duplicate_fraction,effective_context_tokens_per_agent,model,node_count,agent_count,tokens_per_second,mean_token_latency_ms,p95_token_latency_ms,mean_expert_batch_size,maximum_network_link_busy_fraction
system-95-family-70,0.95,0.7,54065.0,Qwen3.8 Flash Next,7,100,2391.5913546586717,41.67282820593557,48.39054746445465,2.5031289111389237,0.037054600337882035
system-95-family-70,0.95,0.7,54023.4375,Qwen3.8 Flash Next,7,147,3170.2440133936393,45.844664424509205,52.25019916996646,3.4420035149384884,0.052414655684496145
system-95-family-70,0.95,0.7,54023.4375,Qwen3.8 Flash Next,7,215,3714.8701427404635,51.42079847051243,58.01462512915435,4.766110689916603,0.06750049858902767
system-95-family-70,0.95,0.7,54023.4375,Qwen3.8 Flash Next,7,316,4706.195604167386,58.85383630923084,67.54907475078714,6.766209707299,0.0805669006416757
system-95-family-70,0.95,0.7,54023.4375,Qwen3.8 Flash Next,7,464,6673.783953124114,69.13980948544868,76.50993855530842,9.306056959486563,0.10051370300179106
system-95-family-70,0.95,0.7,54023.4375,Qwen3.8 Flash Next,7,681,8096.011595496723,83.65139834460138,90.83100258572144,13.233579479207151,0.12056116327564292
system-95-family-70,0.95,0.7,54023.4375,Qwen3.8 Flash Next,7,1000,9564.53790876003,104.31344373111584,111.2290348151894,19.41747572815534,0.14289455958036815
system-95-family-70,0.95,0.7,54023.4375,Qwen3.8 Flash Next,7,1468,10723.624324289536,137.07070748715603,144.1598929096269,25.835973248856035,0.16034785427123777
system-95-family-70,0.95,0.7,54023.4375,Qwen3.8 Flash Next,7,2154,11532.877079706119,186.96852313533955,194.9689665950206,39.43610399121201,0.17487748102022005
system-95-family-70,0.95,0.7,54023.4375,Qwen3.8 Flash Next,7,3162,12003.461358225179,263.2493774325856,274.4437970755268,55.103227682465835,0.18348899730102874
system-95-family-70,0.95,0.7,54023.4375,Qwen3.8 Flash Next,7,4642,12035.51825175596,382.0346633022873,400.2059287094284,69.24463007159905,0.1807078358166263
